,epoch,loss,energy_mean,energy_std,CI,proposal_width,acceptance_rate,walltime
0,0,2.576181411743164,21.426713943481445,0.06465407460927963,18.0,0.1590190827846527,tensor(0.4885),0.9201791910454631
1,1,2.4325666427612305,21.411884307861328,0.06312035024166107,18.0,0.15807022154331207,tensor(0.5037),0.9570492280181497
2,2,2.3417248725891113,21.298200607299805,0.06253045797348022,18.0,0.1552877575159073,tensor(0.4961),0.9213667940348387
3,3,2.4593005180358887,21.335111618041992,0.059930551797151566,18.0,0.1597704291343689,tensor(0.5156),0.8969662031158805
4,4,2.3937129974365234,21.171873092651367,0.05928880721330643,18.0,0.15905998647212982,tensor(0.4827),0.9378172089345753
5,5,2.2134411334991455,21.04407501220703,0.0579029880464077,18.0,0.1600518524646759,tensor(0.4939),0.9420385789126158
6,6,2.2084879875183105,20.96050262451172,0.05731897056102753,18.0,0.16172663867473602,tensor(0.4966),0.9426430470775813
7,7,2.0841312408447266,20.961027145385742,0.05702006816864014,18.0,0.16341954469680786,tensor(0.4946),0.9297339760232717
8,8,2.0956311225891113,20.794475555419922,0.05371507629752159,18.0,0.15984322130680084,tensor(0.4875),0.936767993029207
9,9,2.0731868743896484,20.771814346313477,0.05334479361772537,18.0,0.16506871581077576,tensor(0.5007),0.9325578040443361
10,10,2.0928781032562256,20.756446838378906,0.05345630645751953,18.0,0.16260434687137604,tensor(0.5122),0.935735150007531
11,11,1.7908272743225098,20.716686248779297,0.0506502240896225,18.0,0.15720847249031067,tensor(0.4866),0.9150144141167402
12,12,1.7315410375595093,20.700960159301758,0.050742629915475845,18.0,0.16411413252353668,tensor(0.4934),0.8916600870434195
13,13,1.786185383796692,20.629674911499023,0.04917038232088089,18.0,0.1626930683851242,tensor(0.4895),0.9145280988886952
14,14,1.80021333694458,20.51978302001953,0.0484275184571743,18.0,0.16319261491298676,tensor(0.4976),0.9125515788327903
15,15,1.7688217163085938,20.53990936279297,0.04833341762423515,18.0,0.16632148623466492,tensor(0.5027),0.9448708139825612
16,16,1.6635956764221191,20.44585609436035,0.046296484768390656,18.0,0.16473591327667236,tensor(0.5066),0.943515877937898
17,17,1.545769214630127,20.30550765991211,0.04500420764088631,18.0,0.1675967127084732,tensor(0.5054),0.9422276909463108
18,18,1.52156662940979,20.231882095336914,0.044271841645240784,18.0,0.16573408246040344,tensor(0.4927),0.9468032321892679
19,19,1.484853982925415,20.18252182006836,0.04313056915998459,18.0,0.16417433321475983,tensor(0.4858),0.9372686198912561
20,20,1.512960433959961,20.10024070739746,0.04231744632124901,18.0,0.16462893784046173,tensor(0.4856),0.9281364490743726
21,21,1.367082953453064,20.080347061157227,0.041648682206869125,18.0,0.16425983607769012,tensor(0.5066),0.9048994400072843
22,22,1.4671772718429565,19.980222702026367,0.04130301997065544,18.0,0.16557687520980835,tensor(0.4875),0.9331793149467558
23,23,1.437383770942688,19.923795700073242,0.04035947844386101,18.0,0.16457711160182953,tensor(0.4963),0.8929645039606839
24,24,1.4183902740478516,19.90991973876953,0.03939010202884674,18.0,0.17016278207302094,tensor(0.5044),0.8778209411539137
25,25,1.3525440692901611,19.843799591064453,0.0388624481856823,18.0,0.16983507573604584,tensor(0.5022),0.9245776319876313
26,26,1.3031036853790283,19.731550216674805,0.037595681846141815,18.0,0.17372941970825195,tensor(0.5181),0.917656420962885
27,27,1.1751526594161987,19.728620529174805,0.03758823871612549,18.0,0.16813154518604279,tensor(0.4924),0.9506140660960227
28,28,1.1790878772735596,19.740886688232422,0.03841793164610863,18.0,0.16665901243686676,tensor(0.4856),0.8979631960391998
29,29,1.10767662525177,19.66240119934082,0.03749748319387436,18.0,0.1742902249097824,tensor(0.5061),0.967375610023737
30,30,1.0544078350067139,19.6320858001709,0.03636971861124039,18.0,0.17434000968933105,tensor(0.5151),0.9333309079520404
31,31,0.9563359618186951,19.648534774780273,0.03658246621489525,18.0,0.1688353419303894,tensor(0.4893),0.9382415481377393
32,32,0.8698770403862,19.608552932739258,0.03677560016512871,18.0,0.17511744797229767,tensor(0.5044),0.9425862429197878
33,33,0.9772049784660339,19.546579360961914,0.03656748682260513,18.0,0.1756245493888855,tensor(0.5090),0.9512447889428586
