,epoch,loss,energy_mean,energy_std,CI,proposal_width,acceptance_rate,walltime
0,0,0.13019324839115143,2.018066883087158,0.002857728861272335,1.9999999999999933,0.6572945713996887,tensor(0.4900),0.526480000000447
1,1,0.13332900404930115,2.0158214569091797,0.0028245006687939167,1.9999999999999933,0.6548604369163513,tensor(0.5161),0.4080512002110481
2,2,0.12975981831550598,2.0110480785369873,0.002762757707387209,1.9999999999999933,0.6719316244125366,tensor(0.5076),0.3106339001096785
3,3,0.1281587779521942,2.010910987854004,0.002719977404922247,1.9999999999999933,0.6692335605621338,tensor(0.4995),0.36780659994110465
4,4,0.11743081361055374,2.0162723064422607,0.0026124834548681974,1.9999999999999933,0.663672149181366,tensor(0.5017),0.3952346001751721
5,5,0.11962903290987015,2.0134434700012207,0.002599739469587803,1.9999999999999933,0.6700777411460876,tensor(0.5188),0.3911724998615682
6,6,0.11983605474233627,2.01015567779541,0.00254549877718091,1.9999999999999933,0.6822599172592163,tensor(0.5107),0.3661489002406597
7,7,0.11247702687978745,2.0099313259124756,0.0024715145118534565,1.9999999999999933,0.652094304561615,tensor(0.4885),0.36251149978488684
8,8,0.11001621186733246,2.0130455493927,0.002437066985294223,1.9999999999999933,0.6725589632987976,tensor(0.5137),0.3740592999383807
9,9,0.10792151838541031,2.0097827911376953,0.0023933572228997946,1.9999999999999933,0.6698266863822937,tensor(0.4966),0.3560978998430073
10,10,0.10789627581834793,2.0110645294189453,0.002317921258509159,1.9999999999999933,0.6738898158073425,tensor(0.5005),0.3730965000577271
11,11,0.10328320413827896,2.0075573921203613,0.002279308857396245,1.9999999999999933,0.6757808923721313,tensor(0.5037),0.37970229983329773
12,12,0.09952384233474731,2.008014440536499,0.0022090652491897345,1.9999999999999933,0.6862929463386536,tensor(0.5093),0.3886432000435889
13,13,0.09257039427757263,2.0103323459625244,0.002130012260749936,1.9999999999999933,0.6703960299491882,tensor(0.5059),0.3885751999914646
